name,website,founded_year,sector,sub-sector,functionality,funding,signals,notes
Plume,http://www.plumefinder.com,2024,ClimateTech,,Analytics & Decisioning,,news:2,
Sorcerer,https://sorcerer.earth,2024,ClimateTech,,Data Infrastructure,,hiring:2,
CORE,https://getcore.me,2023,Consumer,,AI Agent,,news:4,
Rove,https://rove.com,2023,Consumer,,Analytics & Decisioning,,hiring:5,
Candle,https://www.trycandle.app/,2024,Consumer,,Copilot / Assistant,,news:2,
Olive,https://fromolive.com,2025,Consumer,,Copilot / Assistant,,news:1,
jo,https://askjo.ai,2024,Consumer,,Copilot / Assistant,,wayback:87d,
Pickle,https://www.pickle.com,2025,Consumer,,Data Infrastructure,,news:1,
Eggnog,https://www.eggnog.ai,2024,Consumer,,Generative Product,,news:1 wayback:51d,
Lore,https://joinlore.app/,2024,Consumer,,Generative Product,,news:2,
Pika,https://pika.art,2023,Consumer,,Generative Product,,hiring:1,
Shortbread,https://www.shortbread.ai/,2023,Consumer,,Generative Product,,news:1,
AiSDR,https://aisdr.com/,2023,Cross-industry,,AI Agent,,blog:2d,
Asteroid,https://asteroid.ai,2024,Cross-industry,,AI Agent,,hiring:4,
Automat,https://www.runautomat.com/,2023,Cross-industry,,AI Agent,,news:1,
Autosana,https://autosana.ai,2025,Cross-industry,,AI Agent,,news:1 wayback:27d,
Browser Use,https://browser-use.com,2024,Cross-industry,,AI Agent,,news:1,
Clicks,https://goclicks.ai/,2025,Cross-industry,,AI Agent,,news:3,
Conductor,https://conductor.build,2024,Cross-industry,,AI Agent,,news:2,
Doe,https://doe.so/,2025,Cross-industry,,AI Agent,,news:1,
Gauge,https://withgauge.com,2024,Cross-industry,,AI Agent,,news:4,
Greptile,https://www.greptile.com,2023,Cross-industry,,AI Agent,,hiring:4,
Inspector,https://www.tryinspector.com,2025,Cross-industry,,AI Agent,,news:2,
Minded,https://www.minded.com/,2023,Cross-industry,,AI Agent,,news:2,
Nexus,https://agent.nexus,2025,Cross-industry,,AI Agent,,news:7,
Promptless,https://promptless.ai/,2024,Cross-industry,,AI Agent,,hiring:1,
SRE.ai,https://sre.ai,2024,Cross-industry,,AI Agent,,news:1,
Sim,https://sim.ai,2025,Cross-industry,,AI Agent,,news:2 hiring:2,
Simple AI,https://www.usesimple.ai,2024,Cross-industry,,AI Agent,,news:1 hiring:8,
StackAI,https://www.stack-ai.com,2023,Cross-industry,,AI Agent,,hiring:1,
StarSling,https://www.starsling.dev/,2025,Cross-industry,,AI Agent,,wayback:52d,
Zeon Systems,https://www.zeonsystems.ai/,2025,Cross-industry,,AI Agent,,news:1,
Artificial Societies,https://societies.io,2025,Cross-industry,,Analytics & Decisioning,,news:1 hiring:3,
Human Behavior,https://www.humanbehavior.co/,2025,Cross-industry,,Analytics & Decisioning,,news:4,
Overstand Labs,https://overstandlabs.com,2024,Cross-industry,,Analytics & Decisioning,,hiring:2,
Percival,https://percy.tech,2025,Cross-industry,,Analytics & Decisioning,,wayback:59d,
Upsolve AI,https://upsolve.ai/,2023,Cross-industry,,Analytics & Decisioning,,news:1,
Weave,https://workweave.dev,2025,Cross-industry,,Analytics & Decisioning,,news:1,
Pally,https://pally.com,2025,Cross-industry,,Copilot / Assistant,,hiring:2,
Sola,https://www.sola-solutions.com/,2023,Cross-industry,,Copilot / Assistant,,hiring:2,
Tempo,https://www.tempo.new,2023,Cross-industry,,Copilot / Assistant,,news:3,
Terrain,https://onterrain.ai/,2025,Cross-industry,,Copilot / Assistant,,news:1,
Venta AI,https://www.getventa.ai,2023,Cross-industry,,Copilot / Assistant,,wayback:63d,
AfterQuery,https://afterquery.com,2025,Cross-industry,,Data Infrastructure,,news:2 hiring:21,
Eden,https://edenhq.com,2025,Cross-industry,,Data Infrastructure,,news:1,
Elevate,https://www.useelevate.dev/,2024,Cross-industry,,Data Infrastructure,,news:8 hiring:1,
Ergo,https://joinergo.com,2025,Cross-industry,,Data Infrastructure,,news:1,
Mem0,https://mem0.ai,2024,Cross-industry,,Data Infrastructure,,news:2 hiring:4,
Outlit,https://outlit.ai/,2025,Cross-industry,,Data Infrastructure,,wayback:36d,
Panels,https://www.usepanels.com/,2025,Cross-industry,,Data Infrastructure,,news:1,
