snapshot_date,name,normalized_website,status,survival_score,signal_coverage,website,category
2026-04-22,OpenAI,openai.com,Healthy,66.2,0.71,https://openai.com,Foundation Models
2026-04-22,Anthropic,anthropic.com,Thriving,88.8,0.71,https://anthropic.com,Foundation Models
2026-04-22,Mistral AI,mistral.ai,Thriving,94.3,0.57,https://mistral.ai,Foundation Models
2026-04-22,xAI,x.ai,Watchlist,50.9,0.43,https://x.ai,Foundation Models
2026-04-22,Cohere,cohere.com,Thriving,86.2,0.57,https://cohere.com,Foundation Models
2026-04-22,Perplexity,perplexity.ai,Likely Dead,35.4,0.57,https://perplexity.ai,AI Search
2026-04-22,Character.AI,character.ai,Pivoted / Absorbed,66.7,0.71,https://character.ai,Consumer AI
2026-04-22,Inflection AI,inflection.ai,Pivoted / Absorbed,53.3,0.71,https://inflection.ai,Consumer AI
2026-04-22,Adept,adept.ai,Pivoted / Absorbed,64.0,0.71,https://adept.ai,AI Agents
2026-04-22,Stability AI,stability.ai,Watchlist,60.0,0.43,https://stability.ai,Image Generation
2026-04-22,Jasper,jasper.ai,Watchlist,61.8,0.43,https://jasper.ai,AI Writing
2026-04-22,Runway,runwayml.com,Thriving,86.2,0.57,https://runwayml.com,Video Generation
2026-04-22,ElevenLabs,elevenlabs.io,Thriving,80.0,0.57,https://elevenlabs.io,Voice AI
2026-04-22,Hugging Face,huggingface.co,Healthy,71.4,0.43,https://huggingface.co,ML Infrastructure
2026-04-22,Suno,suno.com,Likely Dead,56.4,0.43,https://suno.com,Music Generation
2026-04-22,Midjourney,midjourney.com,Dormant,29.1,0.43,https://midjourney.com,Image Generation
2026-04-22,Glean,glean.com,Healthy,76.4,0.43,https://glean.com,Enterprise Search
2026-04-22,Harvey,harvey.ai,Thriving,80.0,0.57,https://harvey.ai,Legal AI
2026-04-22,Writer,writer.com,Thriving,88.0,0.71,https://writer.com,Enterprise Writing
2026-04-22,Synthesia,synthesia.io,Thriving,80.0,0.57,https://synthesia.io,Video Generation
2026-04-22,Together AI,together.ai,Thriving,81.4,0.57,https://together.ai,ML Infrastructure
2026-04-22,Replicate,replicate.com,Thriving,87.1,0.57,https://replicate.com,ML Infrastructure
2026-04-22,Pika,pika.art,Watchlist,61.8,0.43,https://pika.art,Video Generation
2026-04-22,Luma AI,lumalabs.ai,Healthy,73.8,0.57,https://lumalabs.ai,Video Generation
2026-04-22,Humane,humane.com,Pivoted / Absorbed,63.3,0.71,https://humane.com,AI Hardware
2026-04-22,Rewind AI,rewind.ai,Pivoted / Absorbed,21.3,0.71,https://rewind.ai,Personal AI
2026-04-22,Forward Health,goforward.com,Likely Dead,32.7,0.57,https://goforward.com,AI Health
2026-04-22,Olive AI,oliveai.com,Likely Dead,32.7,0.71,https://oliveai.com,Healthcare AI
2026-04-22,Argo AI,argo.ai,Likely Dead,10.9,0.57,https://argo.ai,Autonomous Driving
2026-04-22,Ghost Autonomy,driveghost.com,Likely Dead,16.0,0.71,https://driveghost.com,Autonomous Driving
2026-04-22,Typeface,typeface.ai,Pivoted / Absorbed,58.5,0.57,https://typeface.ai,Enterprise Gen AI
2026-04-22,Hippocratic AI,hippocraticai.com,Healthy,73.8,0.57,https://hippocraticai.com,Healthcare AI
2026-04-22,Sakana AI,sakana.ai,Thriving,86.2,0.57,https://sakana.ai,AI Research
2026-04-22,Magic,magic.dev,Thriving,92.7,0.43,https://magic.dev,Code AI
2026-04-22,Poolside,poolside.ai,Thriving,80.0,0.57,https://poolside.ai,Code AI
2026-04-22,Codeium,codeium.com,Pivoted / Absorbed,75.3,0.86,https://codeium.com,Code AI
2026-04-22,Cursor,cursor.com,Thriving,100.0,0.43,https://cursor.com,Code AI
2026-04-22,Rivet,rivet.design,Watchlist,54.5,0.43,https://rivet.design/,Code AI
2026-04-22,Openroll,openroll.com,Watchlist,54.5,0.43,https://www.openroll.com,AI
2026-04-22,Clicks,goclicks.ai,Healthy,69.1,0.43,https://goclicks.ai/,AI
2026-04-22,DiligenceSquared,diligencesquared.com,Healthy,67.7,0.57,https://diligencesquared.com/,AI
2026-04-22,Boom AI,useboom.ai,Watchlist,47.3,0.43,https://useboom.ai,AI
2026-04-22,Freeport Markets,freeportmarkets.com,Watchlist,47.3,0.43,https://www.freeportmarkets.com/,AI
2026-04-22,Jarmin,jarmin.ai,Watchlist,47.3,0.43,https://jarmin.ai/,Code AI
2026-04-22,Exonic,exonic.ai,Watchlist,54.5,0.43,https://exonic.ai,AI
2026-04-22,Lemma,uselemma.ai,Watchlist,49.2,0.57,https://www.uselemma.ai/,AI
2026-04-22,Denki,denki.ai,Healthy,76.4,0.43,https://denki.ai,AI
2026-04-22,Arcten,arcten.com,Watchlist,49.2,0.57,https://arcten.com,AI
2026-04-22,Primer,startprimer.com,Healthy,67.7,0.57,https://www.startprimer.com,AI
2026-04-22,Philon,philon.ai,Watchlist,48.5,0.57,https://philon.ai/,AI
2026-04-22,Sourcebot,sourcebot.dev,Watchlist,47.3,0.43,https://www.sourcebot.dev/,AI
2026-04-22,Patent Watch,patentwatch.ai,Watchlist,47.3,0.43,https://www.patentwatch.ai/,AI
2026-04-22,Leadbay,leadbay.ai,Watchlist,49.2,0.57,https://leadbay.ai/,AI
2026-04-22,Cortex AI,cortexrobot.ai,Watchlist,54.5,0.43,https://cortexrobot.ai/,Data Infrastructure
2026-04-22,Inspector,tryinspector.com,Healthy,69.1,0.43,https://www.tryinspector.com,Code AI
2026-04-22,Thesis,thesislabs.ai,Healthy,76.4,0.43,https://thesislabs.ai,AI
2026-04-22,Compyle,compyle.ai,Watchlist,47.3,0.43,https://compyle.ai,AI Agents
2026-04-22,Lexi,getlexi.io,Watchlist,47.3,0.43,https://getlexi.io/,Legal AI
2026-04-22,Rovr,withrovr.com,Watchlist,47.3,0.43,https://www.withrovr.com/,AI
2026-04-22,Redapto,redapto.com,Watchlist,47.3,0.43,https://www.redapto.com/,AI
2026-04-22,Helonic,helonic.com,Dormant,40.0,0.57,https://helonic.com,AI
